"Timestamp","Index","binary","design_type"
"2022/12/18 4:46:17 PM GMT+7","202","","C10"
"2022/12/18 4:47:21 PM GMT+7","201","non_residential_builds;main_street","C10"
"2022/12/18 4:49:51 PM GMT+7","203","house_CCTV;puldur;non_residential_builds;main_street","C10"
"2022/12/18 4:53:40 PM GMT+7","204","gapura;symbolic_medium;main_street","C10"
"2022/12/18 4:55:03 PM GMT+7","205","puldur;main_street","C10"
"2022/12/18 5:02:03 PM GMT+7","206","non_residential_builds;main_street","C10"
"2022/12/18 5:02:23 PM GMT+7","207","main_street","C10"
"2022/12/18 5:06:18 PM GMT+7","208","non_residential_builds;main_street","C10"
"2022/12/18 5:07:54 PM GMT+7","209","puldur;main_street","C10"
"2022/12/18 5:12:46 PM GMT+7","210","non_residential_builds;main_street","A10"
"2022/12/18 5:21:53 PM GMT+7","211","house_high_fence;puldur","C10"
"2022/12/18 5:25:08 PM GMT+7","112","house_high_fence;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","C10"
"2022/12/18 5:26:59 PM GMT+7","214","non_house_CCTV;symbolic_medium;puldur;non_residential_builds;main_street","C21"
"2022/12/18 5:31:23 PM GMT+7","214","tumpang_tindih;non_house_CCTV;gardu;gapura;symbolic_medium;main_street","A11;B"
"2022/12/18 5:37:19 PM GMT+7","216","gardu;puldur;non_residential_builds;main_street","C10"
"2022/12/18 5:37:38 PM GMT+7","217","puldur;non_residential_builds;main_street","B"
"2022/12/19 12:00:17 PM GMT+7","218","puldur;non_residential_builds","C10"
"2022/12/19 12:00:46 PM GMT+7","219","puldur;non_residential_builds","A10"
"2022/12/19 12:10:03 PM GMT+7","220","non_residential_builds","C10"
"2022/12/19 12:13:38 PM GMT+7","221","","D"
"2022/12/19 12:19:34 PM GMT+7","222","gardu;gapura;symbolic_medium;puldur;non_residential_builds","C10"
"2022/12/19 12:19:51 PM GMT+7","223","gardu;puldur;non_residential_builds","C10"
"2022/12/19 12:22:07 PM GMT+7","224","puldur","C10"
"2022/12/19 12:27:57 PM GMT+7","225","non_house_CCTV;gapura;symbolic_medium;non_residential_builds","C21"
"2022/12/19 12:29:16 PM GMT+7","226","","C10"
"2022/12/19 12:36:10 PM GMT+7","227","puldur;non_residential_builds","C10"
"2022/12/19 12:36:25 PM GMT+7","228","puldur;non_residential_builds","C10"
"2022/12/19 12:36:38 PM GMT+7","229","puldur;non_residential_builds","C10"
"2022/12/19 12:36:54 PM GMT+7","230","puldur;non_residential_builds","C10"
"2022/12/19 12:47:40 PM GMT+7","231","house_high_fence;house_CCTV;gapura;symbolic_medium;non_residential_builds","C10"
"2022/12/19 1:00:23 PM GMT+7","232","gardu;gapura;non_residential_builds","C21"
"2022/12/19 1:03:31 PM GMT+7","233","symbolic_medium","C10"
"2022/12/19 1:05:27 PM GMT+7","234","","C20"
"2022/12/19 1:08:41 PM GMT+7","235","house_high_fence;puldur;non_residential_builds;main_street","A10"
"2022/12/19 1:43:54 PM GMT+7","236","house_CCTV;non_house_CCTV;gardu;gapura;symbolic_medium;puldur;non_residential_builds;main_street","A10"
"2022/12/19 1:46:21 PM GMT+7","237","gapura;symbolic_medium","C21"
"2022/12/19 1:49:14 PM GMT+7","238","gapura;symbolic_medium;main_street","C20"
"2022/12/19 1:51:07 PM GMT+7","239","gapura;non_residential_builds;main_street","C20"
"2022/12/19 1:52:19 PM GMT+7","240","house_high_fence;non_residential_builds;main_street","C21"
"2022/12/19 1:53:45 PM GMT+7","241","house_high_fence;gapura;symbolic_medium;non_residential_builds;main_street","C20"
"2022/12/19 2:01:38 PM GMT+7","242","","A10"
"2022/12/19 2:33:40 PM GMT+7","243","gardu;non_residential_builds","C10"
